Name,RogueTemple,Link,Released,Updated,Developer,Theme,Influences
Dungeon Screener,http://roguebasin.roguelikedevelopment.org/index.php?title=Dungeon Screener,http://www.foumartgames.com/games/DungeonScreener/,2016/05/22,2016/10/06,Foumart,Fantasy,games from 80's
Dungeons of Dredmor,http://roguebasin.roguelikedevelopment.org/index.php?title=Dungeons of Dredmor,http://www.dungeonsofdredmor.com,2011/00/00,2012/00/00,Gaslamp Games,"Fantasy, Humor",NetHack
Dweller,http://roguebasin.roguelikedevelopment.org/index.php?title=Dweller,http://www.dwellergame.com,2003/08/13,2014/06/12,Björn Ritzl (formerly Bergström),Fantasy,"Angband, Crawl"
Easy Angband,http://roguebasin.roguelikedevelopment.org/index.php?title=Easy Angband,,2001/01/09,2001/11/02,Andres Zanzani,Fantasy,GSN2Band
Elona: Eternal League of Nefia,http://roguebasin.roguelikedevelopment.org/index.php?title=Elona,http://ylvania.org/,2008/01/31,2009/05/17,Noa,Fantasy,"ADOM, AngBand, NetHack, Falcon's Eye"
Encircled,http://roguebasin.roguelikedevelopment.org/index.php?title=Encircled,http://dl.dropbox.com/u/6433222/encircled.zip,2012/08/25,2012/09/16,SRD,"Positioning, tactics","Rogue Rage, ChessRogue, PrincessRL, Cellular automata"
Epilogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Epilogue,https://kraflab.itch.io/epilogue,2012/03/07,2013/01/17,Kraflab,Fantasy,Dungeon Crawl Stone Soup
Equin: The Lantern,http://roguebasin.roguelikedevelopment.org/index.php?title=Equin: The Lantern,http://dxfgames.com/EquinTheLantern/EquinTheLantern.htm,2016/00/00,2016/00/00,DXF Games,Fantasy,"Dragon Quest, Dungeon Dash,Diablo,Dark Souls"
Escape from Dragon's Den,http://roguebasin.roguelikedevelopment.org/index.php?title=Escape from Dragon's Den,http://www.ambrosia-designs.co.za/,2011/10/20,2011/10/20,Ambrosia-Designs,Fantasy,
Exploring The Bleak,http://roguebasin.roguelikedevelopment.org/index.php?title=ExploringTheBleak,https://github.com/5v3nd0ttg/ExploringTheBleak/releases,2010/09/19,2011/01/10,Nathaniel Inman,Fantasy,NetHack
Fabula Divina,http://roguebasin.roguelikedevelopment.org/index.php?title=FabulaDivina,http://www.fabuladivina.com,2012/01/23,2012/01/30,Cannon Technolgies,Fantasy,"Ultima, Torchlight, ADOM, Minecraft"
Falcon's Eye,http://roguebasin.roguelikedevelopment.org/index.php?title=Falcon's Eye,http://users.tkk.fi/~jtpelto2/NetHack.html,2000/10/16,2001/07/03,Jaakko Peltonen,,NetHack
Fame,http://roguebasin.roguelikedevelopment.org/index.php?title=Fame,http://sourceforge.net/projects/untitled-rpg,2006/01/15,2018/05/12,Piotr Bednaruk,Fantasy,ADOM
FATE,http://roguebasin.roguelikedevelopment.org/index.php?title=FATE,http://www.fatethegame.com/,2005/00/00,2006/00/00,WildTangent INC.,Fantasy,"Angband, Diablo"
FAangband,http://roguebasin.roguelikedevelopment.org/index.php?title=First Age Angband,http://angband.oook.cz/faangband/,2005/11/28,2012/05/10,Nick McConnell,Fantasy,OAngband
FlatlineRL,http://roguebasin.roguelikedevelopment.org/index.php?title=FlatlineRL,http://flend.net,2013/03/17,2013/03/17,flend,scifi,"DoomRL, Hotline Miami, Gruesome"
FOR - A Fallout-like Roguelike,http://roguebasin.roguelikedevelopment.org/index.php?title=FOR,https://github.com/lcarst/for,1000/00/00,1000/00/00,User:w00tles,Post-apocalyptic scifi,"Fallout, Crawl"
Forays into Norrendrin,http://roguebasin.roguelikedevelopment.org/index.php?title=Forays into Norrendrin,http://forays.github.io/,2012/01/28,2015/11/06,Derrick Creamer,Fantasy,"ADOM, DoomRL, Angband, Brogue"
Fragility,http://roguebasin.roguelikedevelopment.org/index.php?title=Fragility,http://vedrl.wordpress.com,2014/03/07,1000/00/00,Vedor,"glass, gemgaws, masters of glass",1HP game
Frozen Depths,http://roguebasin.roguelikedevelopment.org/index.php?title=Frozen Depths,http://frozendepths.net,2006/05/21,2014/08/29,Glowie,Fantasy,"ADOM, Nethack"
Fujo,http://roguebasin.roguelikedevelopment.org/index.php?title=Fujo,http://sheep.art.pl/Fujo,2013/12/16,2014/01/06,Radomir Dopieralski,Fantasy,Rogue
Gatecrashers,http://roguebasin.roguelikedevelopment.org/index.php?title=Gatecrashers,http://forums.te4.org/viewtopic.php?f=40&t=39055,2013/11/08,2013/11/26,GuyNamedJoe,Fantasy,"TOME 4, Shiren the Wanderer"
GearHead,http://roguebasin.roguelikedevelopment.org/index.php?title=GearHead,http://www.gearheadrpg.com/,2002/00/00,2016/06/27,Joseph Hewitt,"Science Fiction, Mecha, Futuristic",Hack
Gerband,http://roguebasin.roguelikedevelopment.org/index.php?title=Gerband,http://www.gerbil1.btinternet.co.uk/_sgg/m1_1.htm,2005/00/00,2006/00/00,CosmicGerbil,Fantasy(D&D),
Goblinhack,http://roguebasin.roguelikedevelopment.org/index.php?title=Goblinhack,http://goblinhack.sourceforge.net/,2006/08/27,2009/03/08,Neil McGill,Fantasy,
Golden Age: Endless Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=Golden Age: Endless Dungeon,http://rpgmaker.net/games/3043/,2011/04/25,2011/04/25,"psy_wombats, Enker",Fantasy,"Golden Age, ADOM, Deep Realm Heroes"
Goldfish,http://roguebasin.roguelikedevelopment.org/index.php?title=Goldfish,http://ondras.github.io/goldfish/,2014/03/14,2014/03/14,Ondras,Internal,
Gore Grounds,http://roguebasin.roguelikedevelopment.org/index.php?title=Gore Grounds,https://www.dropbox.com/s/ebq64u5dq23qspt/Gore%20Grounds%20v%201.0.zip?dl=0,2015/03/14,2015/03/14,Badscribbler Badscribbler@gmail.com,"Gore, Arcade",Splatter house
Grid,http://roguebasin.roguelikedevelopment.org/index.php?title=Grid,http://www.caffeineoverdose.me/,2015/00/00,2015/01/16,Andrew Wright (aka roocey),Science Fiction,"Brogue, The Binding of Isaac, Slimy Lichmummy"
Grue the monster – roguelike underworld RPG,http://roguebasin.roguelikedevelopment.org/index.php?title=Grue the monster – roguelike underworld RPG,https://coolai.itch.io/grue-roguelike,2018/005/01,2018/00/00,Denis Anohin,"Fantasy, Dark Fantasy","Demon Tactic, Gruesome"
GSN2band,http://roguebasin.roguelikedevelopment.org/index.php?title=GSN2band,http://www.angband.pwp.blueyonder.co.uk/gsn2.html,2000/11/10,2000/11/10,Gwidon S. Naskrent,Fantasy,"Angband, GSN2band"
GSNband,http://roguebasin.roguelikedevelopment.org/index.php?title=GSNband,http://www.angband.pwp.blueyonder.co.uk/gsn.html,1998/11/15,2000/02/21,Gwidon S. Naskrent,Fantasy,Zangband
Gumband,http://roguebasin.roguelikedevelopment.org/index.php?title=Gumband,http://angband.oook.cz/gumband/,2000/11/24,2010/01/02,"R. Dan Henry, previously Joseph William Dixon",Fantasy,ZAngband
Hack,http://roguebasin.roguelikedevelopment.org/index.php?title=Hack,http://homepages.cwi.nl/~aeb/games/hack/hack.html,1984/12/17,1985/07/23,"Jay Fenlason, Kenny Woodland, Mike Thome, Jon Payne",Fantasy,Rogue
The Hack of Life,http://roguebasin.roguelikedevelopment.org/index.php?title=HackOfLife,https://github.com/isharacomix/hack-of-life,2010/04/06,2010/04/12,Barry,"Programming Game, Cellular Automaton",Conway's Game of Life
Hell Angband,http://roguebasin.roguelikedevelopment.org/index.php?title=Hell Angband,,1000/00/00,1000/00/00,,,
Hengband,http://roguebasin.roguelikedevelopment.org/index.php?title=Hengband,,1000/00/00,1000/00/00,,,
HexRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=HexRogue,http://www.hexatron.com/hexrogue/index.html,2003/00/00,2003/00/00,Hexatron,Fantasy,
Hieroglyphika,http://roguebasin.roguelikedevelopment.org/index.php?title=Hieroglyphika,http://mhanka.com/,2016/02/03,2016/08/15,M. Hanka,Egyptian Mythology,
HumFallRL,http://roguebasin.roguelikedevelopment.org/index.php?title=HumFallRL,http://vedrl.wordpress.com,2013/03/07,2014/09/11,Vedor,post-apocalyptic fiction,"Fallout, some dungeon crawlers"
The Hunger Games,http://roguebasin.roguelikedevelopment.org/index.php?title=Hunger Games,http://www.astrolog.org/labyrnth/daedalus/hunger.htm,2013/03/11,2016/09/01,Walter D. Pullen,modern,"NetHack, The Hunger Games"
HunterRL,http://roguebasin.roguelikedevelopment.org/index.php?title=HunterRL,,2012/03/17,2012/03/17,Alex Elson,Wilderness,"Dwarf Fortress, Ascii Wilderness"
Hydra Slayer,http://roguebasin.roguelikedevelopment.org/index.php?title=Hydra Slayer,http://www.roguetemple.com/z/hydra.php,2010/07/26,2016/11/12,Z,"Fantasy (Greek mythology), Hydras, Mathematics",MathRL
HyperRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Hyperbolic Rogue,http://www.roguetemple.com/z/hyper.php,2011/11/07,2018/05/26,Z,"Mathematics, multiple worlds, a bit Minimalist","DROD, and many others"
iNetHack,http://roguebasin.roguelikedevelopment.org/index.php?title=INetHack,http://code.google.com/p/inethack/,2009/00/00,2009/08/31,Dirk Zimmermann,Fantasy,NetHack
Infra Arcana,http://roguebasin.roguelikedevelopment.org/index.php?title=Infra Arcana,https://sites.google.com/site/infraarcana/,2011/06/05,2017/11/06,Martin Törnqvist,"H.P. Lovecraft, horror, mystery, cults","H.P. Lovecraft, Horror movies, The PC game 'Blood'"
iRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=IRogue,http://roguelike-palm.sourceforge.net/iRogue/,2000/00/00,2002/05/11,,Fantasy,
Iron Fist,http://roguebasin.roguelikedevelopment.org/index.php?title=Iron Fist,http://www.caffeineoverdose.me/,2015/00/00,2015/02/24,Andrew Wright,Science Fiction,"Brogue, The Binding of Isaac, and the Slimy Lichmummy"
IronBand,http://roguebasin.roguelikedevelopment.org/index.php?title=IronBand,http://angband.oook.cz/ironband/,2007/11/22,2012/11/00,Antoine,Fantasy,NPPAngband
Iter Vehemens ad Necem,http://roguebasin.roguelikedevelopment.org/index.php?title=IVAN,https://attnam.com/,2001/12/10,2018/03/24,Timo Kiviluoto and others,Fantasy,"NetHack, Monty Python, 1984"
JauntTrooper series,http://roguebasin.roguelikedevelopment.org/index.php?title=JauntTrooper series,,1994/00/00,1000/00/00,David Scheifler,Science Fiction,Doomsday 2000
Javelin,http://roguebasin.roguelikedevelopment.org/index.php?title=Javelin,http://javelinrl.wordpress.com/,2015/09/01,2016/07/15,Alex Henry,Fantasy,"D&D, d20, Tyrant"
Kamyran's Eye,http://roguebasin.roguelikedevelopment.org/index.php?title=Kamyran's Eye,http://keye.phk.at,2006/00/00,2006/08/04,,Fantasy,
Kerkerkruip,http://roguebasin.roguelikedevelopment.org/index.php?title=Kerkerkruip,http://kerkerkruip.org,2011/10/01,2014/04/13,"Victor Gijsbers, Kerkerkruip team",Sword and sorcery,interactive fiction and roguelikes
Kunoichi,http://roguebasin.roguelikedevelopment.org/index.php?title=Kunoichi,http://www.roguelikeeducation.org/9.html,2014/03/16,2014/03/25,Tectorum,Pseudo-Historical,"Rouge, A DAY @ THE ZOO"
L&L - Labyrinths & Legends,http://roguebasin.roguelikedevelopment.org/index.php?title=Labyrinths and Legends,http://lnl.sourceforge.jp/en/,1993/02/23,2010/06/04,bowkenken,Fantasy,"Rogue, Moria, Nethack, Torneko: The Last Hope"
LambdaRogue: The Book of Stars,http://roguebasin.roguelikedevelopment.org/index.php?title=LambdaRogue,https://code.google.com/p/lambdarogue/,2006/07/00,2012/06/10,Mario Donick,Science Fiction,"Nethack, Angband, ADOM, Sacred, Diablo II"
Larn,http://roguebasin.roguelikedevelopment.org/index.php?title=Larn,http://larn.org/,1986/00/00,2018/03/29,"Noah Morgan, copx, Gibbon",Fantasy,Rogue
LarnHD,http://roguebasin.roguelikedevelopment.org/index.php?title=LarnHD,http://www.freewebs.com/drussell/,1000/00/00,2013/04/00,Donnie Russell,Fantasy,Larn
Last-of-candle,http://roguebasin.roguelikedevelopment.org/index.php?title=Last-of-candle,http://www.interq.or.jp/libra/oohara/last-of-candle/index.html,2010/03/13,2010/03/28,Oohara Yuuma,fantasy,
Legerdemain,http://roguebasin.roguelikedevelopment.org/index.php?title=Legerdemain,http://roguelikefiction.com,2005/00/00,2011/09/14,Nathan D. Jerpe,Fantasy,interactive fiction
Linley's Dungeon Crawl,http://roguebasin.roguelikedevelopment.org/index.php?title=Linley's Dungeon Crawl,http://www.dungeoncrawl.org/,1995/00/00,2005/00/00,"Linley Henzell, others",Fantasy,NetHack
LinuxRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=LinuxRogue,http://www.coredumpcentral.org/,1000/00/00,2011/00/00,"Ashwin Nanjappa, Greg Kennedy, Jesse Printz, others",Fantasy,Rogue Clone
Lord of the Dark Castle,http://roguebasin.roguelikedevelopment.org/index.php?title=Lord of the Dark Castle,http://craze.se/lotdc/lotdc.php,2014/12/18,2014/12/18,"Christian Andersson, Craze Creative Studios",Fantasy,"Angband, Daggerfall, Ultima, Diablo"
Lost Labyrinth,http://roguebasin.roguelikedevelopment.org/index.php?title=Lost Labyrinth,http://www.lostlabyrinth.com,2001/00/00,2016/10/18,"Frank Malota, Markus Doebele",Fantasy,"Hack, Return of Heracles"
"Lotus, a town for rogues","http://roguebasin.roguelikedevelopment.org/index.php?title=Lotus, a town for rogues",http://www.caffeineoverdose.me/,2016/00/00,2016/00/00,Andrew Wright,Fantasy,"Brogue, Angband"
Mage Guild,http://roguebasin.roguelikedevelopment.org/index.php?title=Mage Guild,http://web.archive.org/web/20160312005831/http://lukossoftware.com/node/8,2008/04/03,2010/07/20,Nahjor,fantasy,NetHack
MAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=MAngband,http://www.mangband.org/,1997/04/20,2016/05/27,MAngband Project Team,Fantasy,Angband
Martin's Dungeon Bash,http://roguebasin.roguelikedevelopment.org/index.php?title=Martin's Dungeon Bash,http://www.chiark.greenend.org.uk/~mpread/dungeonbash/index.html,2005/02/02,2009/01/06,Martin Read,Fantasy,Rogue
Menskband,http://roguebasin.roguelikedevelopment.org/index.php?title=Menskband,,1000/00/00,1000/00/00,,,Angband
MidBoss,http://roguebasin.roguelikedevelopment.org/index.php?title=MidBoss,http://www.midboss.net,2014/04/11,2017/11/27,Eniko,Fantasy,
Mike's Adventure Game,http://roguebasin.roguelikedevelopment.org/index.php?title=Mike's Adventure Game,http://www.homeoftheunderdogs.net/game.php?id=4774,1988/00/00,1988/00/00,Mike Teixeira,fantasy,"Rogue, Hack"
Miner,http://roguebasin.roguelikedevelopment.org/index.php?title=Miner,http://chomikuj.pl/revelati00,2016/00/00,2016/00/00,Revelati,"fantasy, survival",Gem miner
Mines of Morgoth,http://roguebasin.roguelikedevelopment.org/index.php?title=Mines of Morgoth,http://www.minesofmorgoth.com/,2002/01/14,2009/05/02,Philippe Wartelle,Fantasy,Moria
Moria,http://roguebasin.roguelikedevelopment.org/index.php?title=Moria,http://www.remarque.org/~grabiner/moria.html,1983/00/00,2008/10/13,"Robert A. Koeneke, Jimmey Wayne Todd Jr., James E. Wilson, others",Fantasy,Rogue
