Game,Text
Slaves to Armok II: Dwarf Fortress,"Голосовать можно с 5 уровня PC Перейти Bay 12 Games Bay 12 Games 2006 Дварф Фортресс игра совершенно удивительная - нигде я не встречал такого огромного количества возможностей, такого внимания к деталям. Но за всё хорошее, к сожалению, приходится платить. В нашем случае игра расплачивается очень большой сложностью освоения. Этим постом я хочу максимально облегчить освоение этой, несомненно отличной, игры. Для нач... Думаю, многие любители жанра знают и до сих пор поигрывают в Dwarf Fortress — симулятор фэнтезийного мира, в котором ты играешь не до победы, а лишь оттягивая неизбежный крах. Разработчики сего творения уже давно затеяли массу нововведений в свой проект, которых, правда, за 2 года накопилось немало хотя бы потому, что они так и не были выпущены. Dwarf Fortress проще, чем кажется - часть 1. Ура, свершилось! Сейчас проводятся более-менее успешные попытки русифицирования Dwarf Fortress! Ко мне пришел минотавр в начале игры на синистер местности. Вот так он пробежался от места своего 'появления' до входа в крепость. Первый сквад рестлеров слег практически сразу. Минотавр тусовался около входа в крепость и добить его смогли только силы 'ополчения' в количестве 8 дворфов (погибло 4). Итого, минотавр утащил за собой в АД 11 дворфо... Dwarf Fortress - одна из наиболее хардкорных, сложных и интеллектуальных игр сегодняшних дней. У нее есть только один минус, который одновременно является ее плюсом - она сложна. Это отвращает от Dwarf Fortress упрощенно-одаренных людей. Однако, в наш век всеобщей казуализации, упрощения и YOBA-тенденций, нашлись желающие упростить и эту игру. '... Для тех, кому мало оригинального ДФ я настоятельно советую попробовать Генезис мод. Genesis Mod Мод поддерживает последнюю на данный момент версию ДФ (0.31.08) и поставляется в двух версиях- ascii и графической. Внутри вы найдете: Более разнообразные виды ландшафта (новые цветочки, деревья и так далее), около 150 новых видов растений: 9 разноо... Этот удивительный рассказ в картинках есть ни что иное, как описание трагической истории встречи гномов со зверем, который оказался им слегка не по силам. К тому же, для тех, кто не может вместить в себя ASCII-графику самой игры, наконец-то появляется возможность приобщиться к хотя бы поверхностному пониманию глубины этой чудесной симуляции фентез... В бета-версии Dwarf Fortress некоторыми игроками был замечен странный  баг - иногда несколько дварфов в крепости внезапно умирали от сильного кровотечения. После обсуждений на форуме и множества попыток воспроизвести баг один из участников заметил что это может быть связано со вскрытием магмы. В новой версии DF есть несколько важных нововведений. ... Toady, похоже, не собирается отдыхать после бета-релиза. Уже вышла версия, исправляющая самые серьёзные ошибки вроде случайных вылетов игры. Также были исправлены опечатки и ошибки в RAW-файлах - например, убраны волосы у аллигаторов :) Скачать можно здесь. В планах Toady - несколько маленьких релизов с багфиксами, потом слияние с графической ве... Как Вы наверняка уже знаете, вышла бета новой версии Dwarf Fortress. Это первая часть нововведений: Режим крепости Организация Норы! Норы это участки форта, где живут и работают дварфы. Их можно размечать также как зоны и назначать в них дварфов. Дварфы будут использовать только те комнаты и мастерские, которые находятся в соответствующих норах Как и обещали - новая версия. Toady пишет, что все, что планировалось за последний год, добавилось в этой версии. Но так же говорит, что багов немерено. Скачать можно тут. Ну и можно увидеть обновленный сайт. Хотя работает он пока ужасно. Сегодня в блоге разработки Dwarf Fortress появилась запись о том, что Toady готов выложить бета-версию релиза в течении недели.  Бета-релиз предназначен для отлова багов, и в него пока не будет включен оптимизированный графический движок (это будет сделано через несколько дней). К сожалению, бета-версия скорее всего будет доступна только для Windo... Один по настоящему сумасшедший программист с форумов Bay12Games от нечего делать заменил графический вывод Dwarf Fortress на текстовый и создал сервер, к которому каждый может подключиться откуда угодно и поиграть в DF. Всё что вам нужно - SSH-клиент с поддержкой UTF-8 (например PuTTY) Сервер: demented.no-ip.org Логин: dwarfort Пароль: dwarfort Два часа назад на форум Bay12Games была выложена новая версия графической ветки Dwarf Fortress: 40d17 Улучшения в данной версии Одной команде можно назначить несколько клавиш Можно создавать клавиатурные макросы прямо в игре: Установки по умолчанию: Ctrl-r : начать (или закончить) запись макроса Ctrl-p : запустить текущий макрос Ctrl-s : сох... В субботу вышла preview-версия нового визуализатора: Stonesense. Визуализатор создан коллективным творчеством программистов и художников форума Bay12Games. Видео работы прилагается: Что сделано: Автоматическое обновление карты из Dwarf Fortress Спрайты для дварфов, самых распространённых животных, кобольдов и гоблинов Разные спрайты для разно... Геология - важная и очень глубокая часть Dwarf Fortress. Toady реализовал многие реально существующие понятия и породы, их взаимодействие. Понимая основы геологии, мы можем лучше оценить игру. Породы В Dwarf Fortress используются 4 вида пород. Вот краткий обзор: sedimentary layers: осадочные породы; образуются в результате выветривания или осажд... This War of Mine Resident Evil: Reve... "
WazHack,
"Doom, the Roguelike",
Moria,
Rogue Legacy,
Moraff's Revenge,
Not the Robots,"For press inquires, interview requests, business offers, love letters, hate-mail, or whatever other reason you'd like to talk to us... hello@titaniumfrontier.com "
Pokémon Mystery Dungeon: Explorers of Sky,
Dungeons of the Unforgiven,
Infinite Space III: Sea of Stars,"19 Comments » The main addition to the randomised worlds could well be the dynamic nature of other denizens of the galaxy, hopefully lending the often static playfields a stronger sense of life. Robust modding support is also planned. Weird Worlds was quite fun, I wish it was a little more complex though. Weird Worlds was indeed awesome. Imagine how much better it could have been if they would have kickstarted it. If it had a little more depth in the exploring and travelling.. Still, I think I’ve played it more than FTL. Heck yes! Weird Worlds was great fun in 15-minute snippets; here’s hoping with a decent budget they can fill out the game to the huge depth it deserves. Awesome, one of my favorite Indie devs! I still fire up Weird Worlds from time to time. i tried to resist the urge to pledge (yeah yeah, i know that was futile, but i did try) but then the vid showed a pic of 2 cats and before i knew it, i was throwing monies at the screen. Loved Strange Adventures and Weird Worlds, so I’m pretty stoked Digital Eel is still out there keeping this sort of thing alive. Wary about the truly 3D space, the combat, the touch screen interface etc, but not wary enough to still my excitement. Digital eels are my favorite kind About time! Yuss, long overdue. Really hope they make it. Hot damn.  If they just make the combat 3 dimensional I won’t need to dream about that combo of Infinite Space and Flotilla anymore. Backing!!! HOORAY! This is 12 on my excite-o-meter, which only goes up to 10. I love how the second tier is limited to 50000 copies. If it had been any other dev, I’d have thought it was a typo. Not familiar with their previous games, but it looks promising, though I must admit I don’t quite understand the gameplay. Is it like a more elaborate Trade Wars? Shrunk-down 4x space strategy? A meta-game about designing game assets? Also, RPS staff: I whitelist your site for the benefit of your ad-serving money schemes, but do you really need so many trackers? Ghostery reports 12 on this page. Not quite a Sea of Trackers, but perhaps a small pond. Strange Adventures in Infinite Space is free. as in free beer, only better. cheers! Thanks, I’ll take a look! "
Falcon's Eye,
Scarab of Ra,Cannot retrieve the latest commit at this time 
